Seed,Accuracy,F1 Score,AUC,D-AUC PR
7270,0.7182,0.6532,0.7996,0.1664
860,0.724,0.7326,0.8263,0.1701
5390,0.6929,0.7597,0.7978,0.1766
5191,0.6602,0.6333,0.8055,0.2425
5734,0.6963,0.6259,0.7912,0.1833
6265,0.7385,0.7141,0.8381,0.1829
466,0.6606,0.5412,0.7747,0.211
4426,0.7267,0.6683,0.8159,0.2403
5578,0.6945,0.6634,0.7985,0.1624
8322,0.7157,0.6499,0.8056,0.1832
