Seed,Accuracy,F1 Score,AUC,D-AUC PR
7270,0.564,0.5276,0.5391,0.0089
860,0.5382,0.5616,0.5481,0.0125
5390,0.5606,0.6408,0.5598,0.0243
5191,0.5399,0.4986,0.55,0.02
5734,0.5593,0.5111,0.5521,0.0178
6265,0.538,0.5371,0.5529,0.01
466,0.5804,0.4607,0.561,0.0254
4426,0.5521,0.5012,0.5423,0.0112
5578,0.5742,0.5843,0.5381,0.0157
8322,0.5234,0.515,0.5673,0.0196
