Seed,Accuracy,F1 Score,AUC,D-AUC PR
7270,0.7463,0.6868,0.794,0.163
860,0.7425,0.7368,0.8282,0.1704
5390,0.6647,0.7257,0.7938,0.173
5191,0.656,0.6311,0.8059,0.2436
5734,0.6828,0.6208,0.7837,0.1725
6265,0.7003,0.6758,0.8397,0.186
466,0.6433,0.5521,0.7753,0.2046
4426,0.7517,0.5606,0.8014,0.2099
5578,0.7066,0.6534,0.7869,0.156
8322,0.7029,0.6386,0.7999,0.1782
